Gol,X,Y,Campeonato,subEventoNome,idTime,idJogador,distanciaCentro,distanciaGol,Angulo
0,13,27,Copa do mundo,Shot,16521,122940,23.0,20.244134953116667,0.2469023268180388
0,10,69,Copa do mundo,Shot,14358,101699,19.0,16.210259097250727,0.2989701177834974
0,14,30,Copa do mundo,Shot,14358,101857,20.0,19.623710148695125,0.2817923532519773
1,7,60,Copa do mundo,Shot,14358,102157,10.0,9.811855074347562,0.5757983344575113
0,14,38,Copa do mundo,Shot,16521,122671,12.0,16.641213898030394,0.3876504547249745
0,27,32,Copa do mundo,Shot,16521,122832,18.0,30.66940658049973,0.2201831234730513
1,7,38,Copa do mundo,Shot,14358,4513,12.0,10.71739240673775,0.4875473980128381
0,20,67,Copa do mundo,Shot,14358,101699,17.0,23.72978086708767,0.27267478070201756
0,8,60,Copa do mundo,Shot,16521,122671,10.0,10.621205204683694,0.5539129060969811
0,12,67,Copa do mundo,Shot,14358,103682,17.0,16.758952831248138,0.33206626567067177
1,6,48,Copa do mundo,Shot,14358,101669,2.0,6.432728814430155,1.025372627090774
0,31,31,Copa do mundo,Shot,16521,122832,19.0,34.8141494223254,0.19622417277260287
0,13,69,Copa do mundo,Shot,16521,122615,19.0,18.407742936058185,0.2978805122246868
0,30,40,Copa do mundo,Shot,14358,220971,10.0,32.16364407215078,0.2220893925204789
1,20,64,Eurocopa,Shot,4418,25714,14.0,22.88689581398054,0.29252713991186646
0,10,62,Alemao,Shot,2444,14727,12.0,13.080137613954985,0.45351561115002464
0,23,50,Copa do mundo,Shot,15670,21174,0.0,24.15,0.3008164530703536
0,10,57,Copa do mundo,Shot,16129,220112,7.0,11.44344790699027,0.5790496767581794
0,18,52,Eurocopa,Shot,6697,20766,2.0,18.944656238633623,0.38087120766850147
0,18,32,Copa do mundo,Shot,15670,21174,18.0,22.228360263411243,0.280229343638815
0,7,41,Copa do mundo,Shot,15670,7972,9.0,9.393880987110705,0.6232345110872599
0,19,62,Copa do mundo,Shot,16129,120225,12.0,21.420609235033442,0.31679577481592847
0,29,79,Copa do mundo,Shot,15670,116349,29.0,35.812358202162564,0.1738544372475565
0,28,50,Copa do mundo,Free kick shot,15670,7972,0.0,29.4,0.24770521650787172
0,26,40,Copa do mundo,Shot,16129,437417,10.0,28.063143088399777,0.25262306464739315
0,7,61,Copa do mundo,Shot,15670,7972,11.0,10.254023600518968,0.530360708962019
0,25,21,Copa do mundo,Shot,16129,220112,29.0,32.31694601907798,0.18426032770720305
0,27,66,Copa do mundo,Shot,15670,86340,16.0,30.197392271519078,0.22698785233621196
0,11,58,Copa do mundo,Shot,15670,21174,8.0,12.66658991204815,0.5218037806113346
